id,status,score_100,bucket,aggregate_view,prompt_version,model,occlusion_overlap_check,occlusion_findings,occlusion_affected_axes,input_path,rationale
card_dsl_37bc991dfc,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-005\card.dsl.png,"image: 命中[0,10)档：属于无成熟设计的纯文字简陋工具提示类界面；可见证据是仅使用简单紫黑渐变背景、系统默认粗体字，无任何图标、品牌标识或具象视觉元素，仅堆叠电量、警告文字与三个充电点文字块，无完整视觉体系；未进更高档因为无稳定页面结构、无明确交互控件设计、无细节打磨，仅为基础信息堆砌，达不到低质模板的完成度。"
card_dsl_98c6943138,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-001\card.dsl.png,"image: 命中[0,10)档：属于单薄粗糙的孤立提示类界面；可见证据是仅含边缘模糊的闪电图标、电量提示文字、短进度条、单条耗电项，无任何交互控件与完整页面结构，仅做简单紫渐变填充，图标粗糙、使用系统默认字体、无成型视觉系统；未进更高档因为内容极度残缺、无完整功能闭环、细节完成度低，达不到基础demo模板的完整度要求。"
card_dsl_45502bdbb5,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,"[{""affected_axes"": [""composition_hierarchy"", ""detail_finish"", ""typography"", ""basic_usability""], ""evidence"": ""粉色弧形进度元素叠加在百分号字符上，造成局部文字遮挡"", ""severity"": ""minor"", ""target"": ""电量百分比符号“%”"", ""type"": ""text_graphic""}, {""affected_axes"": [""basic_usability"", ""typography"", ""detail_finish"", ""composition_hierarchy""], ""evidence"": ""左右按钮容器宽度不足，文字被裁剪仅显示首字加省略号，无法识别完整功能"", ""severity"": ""moderate"", ""target"": ""底部左右功能按钮文字"", ""type"": ""clipping_crop""}]","[{""axis"": ""composition_hierarchy"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 0.1, ""severity"": ""moderate"", ""weight"": 0.2, ""weighted_contribution"": 0.02, ""weighted_loss_from_max"": 1.58}, {""axis"": ""typography"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 0.0, ""severity"": ""moderate"", ""weight"": 0.15, ""weighted_contribution"": 0.0, ""weighted_loss_from_max"": 1.2}, {""axis"": ""detail_finish"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 0.0, ""severity"": ""moderate"", ""weight"": 0.15, ""weighted_contribution"": 0.0, ""weighted_loss_from_max"": 1.2}, {""axis"": ""basic_usability"", ""finding_types"": [""clipping_crop"", ""text_graphic""], ""score"": 0.1, ""severity"": ""moderate"", ""weight"": 0.05, ""weighted_contribution"": 0.005, ""weighted_loss_from_max"": 0.395}]",D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-002\card.dsl.png,"image: 命中[0,10)档：属于粗糙的单功能电量提示类玩具小工具；可见证据为深紫渐变背景、32%电量大字、省电提示文案与三个胶囊按钮，存在粉色进度弧遮挡百分号、左右按钮文字被截断仅显首字加省略号的问题，排版粗糙；未进更高档因为存在明显排版缺陷，无成型视觉系统，完成度极低。"
card_dsl_083cb5b804,scored,15.0,"[10,20)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-004\card.dsl.png,"image: 命中[10,20)档：属于低质量演示类系统提示弹窗；可见证据是采用红黑渐变背景与半透明玻璃态控件，包含低电警示标题、充电提示文案、电量状态框与三个充电目的地选择按钮，布局稳定但存在图标空白占位、提示文字断行孤字的粗糙问题，内容稀疏；未进更高档因为缺乏完整产品工作流，无明确品牌视觉体系，细节完成度不足，达不到产品级界面要求。"
card_dsl_5be228e070,scored,15.0,"[10,20)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-003\card.dsl.png,"image: 命中[10,20)档：属于低质量简陋工具类提醒界面；可见证据是布局稳定，可识别低电提醒核心功能，设有标题、三台设备电量卡片、充电状态标记、开省电主按钮，基础功能可辨；未进更高档因为控件样式粗糙，核心状态文字对比度低，无成熟视觉设计体系，存在大面积空白，仅达基础demo水准。"
card_dsl_7ec5702f6c,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-006\card.dsl.png,"image: 命中[0,10)档：属于简陋的单功能省电类练习/玩具页面；可见证据是粗糙的紫调渐变背景，左侧低电信息卡片配橙色操作按钮，右侧三个功能项的图标/交互控件为无样式纯白占位块，使用系统默认字体，无统一视觉设计系统，排版生硬；未进更高档因为控件设计未完成，视觉质量近失败，无成型组件或品牌设计，达不到低质模板的完成度。"
card_dsl_e6cad02031,scored,15.0,"[10,20)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,"[{""affected_axes"": [""typography"", ""composition_hierarchy"", ""detail_finish"", ""basic_usability""], ""evidence"": ""命中[10,20)档：属于简易设备快捷信息面板类低质demo模板；可见证据是布局稳定，包含电量环形指示、温度/天气/充电里程3个信息胶囊与导航按钮，无文字控件遮挡，但均为默认圆角卡片、系统/emoji图标、默认字体，仅黑白灰配色无品牌设计，内容稀疏；未进更高档因为缺乏完整产品工作流，无定制视觉系统与细节打磨，达不到[20,30)的完整结构要求。"", ""severity"": ""severe"", ""target"": ""text over image/icon"", ""type"": ""text_graphic""}]","[{""axis"": ""composition_hierarchy"", ""finding_types"": [""text_graphic""], ""score"": 1.1, ""severity"": ""severe"", ""weight"": 0.2, ""weighted_contribution"": 0.22, ""weighted_loss_from_max"": 1.38}, {""axis"": ""typography"", ""finding_types"": [""text_graphic""], ""score"": 0.8, ""severity"": ""severe"", ""weight"": 0.15, ""weighted_contribution"": 0.12, ""weighted_loss_from_max"": 1.08}, {""axis"": ""detail_finish"", ""finding_types"": [""text_graphic""], ""score"": 0.7, ""severity"": ""severe"", ""weight"": 0.15, ""weighted_contribution"": 0.105, ""weighted_loss_from_max"": 1.095}, {""axis"": ""basic_usability"", ""finding_types"": [""text_graphic""], ""score"": 1.0, ""severity"": ""severe"", ""weight"": 0.05, ""weighted_contribution"": 0.05, ""weighted_loss_from_max"": 0.35}]",D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-009\card.dsl.png,"image: 命中[10,20)档：属于简易设备快捷信息面板类低质demo模板；可见证据是布局稳定，包含电量环形指示、温度/天气/充电里程3个信息胶囊与导航按钮，无文字控件遮挡，但均为默认圆角卡片、系统/emoji图标、默认字体，仅黑白灰配色无品牌设计，内容稀疏；未进更高档因为缺乏完整产品工作流，无定制视觉系统与细节打磨，达不到[20,30)的完整结构要求。"
card_dsl_2ba8d6aa74,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-008\card.dsl.png,"image: 命中 [0,10) 档：属于练手级粗糙玩具工具界面；可见证据是采用纯亮紫色平涂背景，仅堆砌无层级区分的同色系圆角块，开关为简陋的绿色椭圆白字块，使用生硬的系统粗黑体，说明文字与功能项样式混淆、对齐不统一，无成型视觉系统与细节打磨；未进更高档因为未达到低质demo模板的基本控件完成度与布局协调性，视觉质量近失败。"
card_dsl_ec7f1c86ee,scored,5.0,"[0,10)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-011\card.dsl.png,"image: 命中[0,10)档：属于简陋单动作工具面板类型；可见证据是橙红渐变背景，两个简易半透明块展示低电、省电项状态，仅一个“切到省电模式”操作按钮，使用系统默认字体，以“蓝位亮”单字缩写标注功能，排版粗糙无层次，无成型视觉系统；未进更高档因为无完整产品结构，仅单功能触发，视觉质量近失败，达不到低质模板的内容丰富度。"
card_dsl_56d3b65cfc,scored,15.0,"[10,20)",image,aesthetic-v4,doubao-seed-2-1-pro-260628,always_on,[],[],D:\A2UI\CartTaskSpec\datasets\case-600-newSkill-gpt5.5-long\Case-01-low-power-007\card.dsl.png,"image: 命中[10,20)档：属于简单单卡片工具demo模板类型；可见证据是棕橙渐变圆角单卡片，包含环形电量指示、低电状态提示、会议提醒文本，搭配三个有主次区分的圆角操作按钮，布局稳定、功能可识别，有基础统一配色；未进更高档因为仅为基础模板壳，内容单薄、细节粗糙，无完整产品结构与品牌设计，控件样式普通，不具备更高档要求的完整工作流与成熟视觉体系。"
